"filename", "language", "Python", "C", "Markdown", "XML", "Shell Script", "comment", "blank", "total"
"/media/guille/KINGSTON/GPacks/ZynkLite/README.md", "Markdown", 0, 0, 86, 0, 0, 0, 31, 117
"/media/guille/KINGSTON/GPacks/ZynkLite/mimes/install.sh", "Shell Script", 0, 0, 0, 0, 6, 1, 6, 13
"/media/guille/KINGSTON/GPacks/ZynkLite/mimes/package/application-x-zynk.xml", "XML", 0, 0, 0, 8, 0, 0, 1, 9
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/README.md", "Markdown", 0, 0, 33, 0, 0, 0, 13, 46
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/build.sh", "Shell Script", 0, 0, 0, 0, 2, 0, 1, 3
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/dev.py", "Python", 24, 0, 0, 0, 0, 3, 2, 29
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/docs/README.md", "Markdown", 0, 0, 68, 0, 0, 0, 11, 79
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/final_program.c", "C", 0, 137, 0, 0, 0, 7, 68, 212
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/__about__.py", "Python", 1, 0, 0, 0, 0, 3, 1, 5
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/__init__.py", "Python", 11, 0, 0, 0, 0, 3, 2, 16
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/ast/__init__.py", "Python", 4, 0, 0, 0, 0, 3, 1, 8
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/ast/eval.py", "Python", 226, 0, 0, 0, 0, 9, 15, 250
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/ast/expressions.py", "Python", 163, 0, 0, 0, 0, 83, 37, 283
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/ast/parser.py", "Python", 375, 0, 0, 0, 0, 7, 13, 395
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/ast/zenv.py", "Python", 18, 0, 0, 0, 0, 3, 2, 23
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/bytecode/__init__.py", "Python", 0, 0, 0, 0, 0, 3, 0, 3
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/__init__.py", "Python", 6, 0, 0, 0, 0, 0, 1, 7
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/funcs.py", "Python", 33, 0, 0, 0, 0, 3, 3, 39
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/initialize.py", "Python", 16, 0, 0, 0, 0, 3, 4, 23
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/mem.py", "Python", 16, 0, 0, 0, 0, 3, 3, 22
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/stack.py", "Python", 13, 0, 0, 0, 0, 3, 1, 17
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/templates.py", "Python", 187, 0, 0, 0, 0, 3, 7, 197
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/c_base/translator.py", "Python", 156, 0, 0, 0, 0, 3, 5, 164
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/cli.py", "Python", 26, 0, 0, 0, 0, 4, 4, 34
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/compiler.py", "Python", 0, 0, 0, 0, 0, 3, 0, 3
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/cynk_cli.py", "Python", 71, 0, 0, 0, 0, 3, 5, 79
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/errors.py", "Python", 26, 0, 0, 0, 0, 3, 3, 32
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/frontend/__init__.py", "Python", 1, 0, 0, 0, 0, 3, 1, 5
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/frontend/lexer.py", "Python", 218, 0, 0, 0, 0, 13, 8, 239
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/interpreter.py", "Python", 20, 0, 0, 0, 0, 3, 3, 26
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/native_funcs/__init__.py", "Python", 1, 0, 0, 0, 0, 3, 1, 5
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/native_funcs/core.py", "Python", 142, 0, 0, 0, 0, 24, 27, 193
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/test_trans.py", "Python", 42, 0, 0, 0, 0, 0, 3, 45
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/tokens.py", "Python", 57, 0, 0, 0, 0, 11, 10, 78
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/src/zynk_lite/transpiler.py", "Python", 113, 0, 0, 0, 0, 40, 24, 177
"/media/guille/KINGSTON/GPacks/ZynkLite/zynk-lite/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 3, 1, 4
"Total", "-", 1966, 137, 187, 8, 8, 256, 318, 2880
